Token,en,it,es,fr,de,ar,ja,zh,ko,th,tr,entity_id
The Invisible Man,The Invisible Man,L'uomo invisibile,El hombre invisible,L'Homme invisible,Der Unsichtbare,الرجل الخفي (فيلم 1933),透明人間,隐形人,투명인간,,,Q135932
The Invisible,The Invisible,Invisible,The Invisible,The Invisible,Unsichtbar – Zwischen zwei Welten,غير المرئي,臨死,幽靈人口,인비저블,,,Q843450
Invisible Man,Invisible Man,Uomo invisibile,El hombre invisible,"Homme invisible, pour qui chantes-tu ?",Der unsichtbare Mann,الرجل الخفي,見えない人間,看不见的人,보이지 않는 인간,,,Q1784288
What,What,What,What,What,What,,,,What,,,Q7990733
genre,genre,genere,género,genre artistique,Genre,النوع الفني,ジャンル,類型,장르,ประเภท,türü,P136
The,The,The,The,The,The,,,THE,The,,The,Q2430521
Invisible,Invisible,Invisible,Invisible,Invisible,Invisible,,インビジブル,,인비저블,,,Q374371
Man,Man,Man,Man,Man,Man,,Man,Man,만 (동음이의),,Man,Q225298
to,to,,,,To,,斗,斗,말,,,Q1078168
Mulheres,Mulheres,,,,,,,,,,,Q10333086
first,first,primo,primero,premier,Erster,الأول,最初,最先,,,ilk,Q19269277
